Product Name,Product Type,Price,Workflow Status,Source Artwork,Fulfillment Method,Sales Channels,Print File,Primary Mockup File,Mockup Image Full Set,Etsy Link,Etsy Listing ID,Etsy Shipping Profile,Etsy Status,Finish,Frame Color,Lovable Shipping Rate,Lovable Status,Margin %,Notes,Orientation,Printful Base Cost,Printful Product,Printful SKU,Shipping Cost,Shipping Model,Size,Total Cost,artwork_id,product_id,Mockup Status,Next Action,POC Product
Verdigris & Blush- Oil Painting Print on Canvas- Whispers of Color and Bloom,Printful Print,$85.00,Imported - Pending Review,Verdigris & Blush (https://app.notion.com/p/Verdigris-Blush-36f70b21b17e813f9453ffdb5763ee1c?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0010,,,,No
Sky on Fire – Coastal Sunset Canvas Print by Kaleigh Anderson | Luminous Ocean Wall Art,Printful Print,$55.00,Imported - Pending Review,Sky on Fire (https://app.notion.com/p/Sky-on-Fire-36f70b21b17e8123b895dde606aa5a88?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0046,,,,No
Return to the Marsh – Coastal Marsh Landscape Canvas Print by Kaleigh Anderson,Printful Print,$55.00,Imported - Pending Review,Return to the Marsh (https://app.notion.com/p/Return-to-the-Marsh-36f70b21b17e816c848eedc52d3461bc?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0005,,,,No
Echoes from the Irish Castle – Ireland Castle Landscape Canvas Print by Kaleigh Anderson,Printful Print,$55.00,Imported - Pending Review,Echoes from the Irish Castle (https://app.notion.com/p/Echoes-from-the-Irish-Castle-36f70b21b17e81fbb8a6dd99524dd53a?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0054,,,,No
Mussel Shell Heart Coastal Canvas Print – Ocean’s Heart by Kaleigh Anderson,Printful Print,$85.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
Lilac Floral Still Life Canvas Print – Violet Harmony by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,Violet Harmony (https://app.notion.com/p/Violet-Harmony-36f70b21b17e81368f60d312f4dc4177?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0039,,,,No
Providence Rhode Island Cityscape Canvas Print – First Light on Providence by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,First Light on Providence (https://app.notion.com/p/First-Light-on-Providence-36f70b21b17e8103b656dc1c25d65806?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0053,,,,No
Coastal Cottage Garden Canvas Print – Bellflower House by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
Pink Floral Still Life Canvas Print – Whispers of Spring by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
Peach Still Life Window Light Canvas Print – Where Light Rests by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,Where Light Rests (https://app.notion.com/p/Where-Light-Rests-36f70b21b17e812eb4d3ff4a344a1100?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0035,,,,No
Coastal Hydrangea Cottage Canvas Print – When the Hydrangeas Bloom by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
